lambda,accuracy
0,0.81405336
75,0.82194674
150,0.8288
225,0.83532
300,0.8402667
375,0.84466666
450,0.84898674
525,0.85328007
600,0.85808
675,0.8622801
750,0.8656
825,0.86917335
900,0.87266666
975,0.8769334
1050,0.8811467
1125,0.88410676
1200,0.8876934
1275,0.89076006
1350,0.89361346
1425,0.8963068
1500,0.89896
1575,0.90137327
1650,0.90428007
1725,0.9063201
1800,0.90845335
1875,0.9104401
1950,0.91281337
2025,0.9148134
2100,0.91654664
2175,0.9181067
2250,0.92006665
2325,0.92188007
2400,0.9230666
2475,0.92416
2550,0.9248934
2625,0.92608005
2700,0.92741334
2775,0.9286933
2850,0.92965335
2925,0.9297867
3000,0.92956
3075,0.93008006
3150,0.9304935
3225,0.9308666
3300,0.93076
3375,0.9300534
3450,0.9296934
3525,0.92911994
3600,0.9289468
3675,0.9284266
3750,0.9272667
3825,0.92576
3900,0.9246934
3975,0.92453337
4050,0.9232934
4125,0.92223996
4200,0.9212267
4275,0.92030656
4350,0.91836005
4425,0.9158
4500,0.9131467
4575,0.9109601
4650,0.90856
4725,0.90612
4800,0.90340006
4875,0.8998
4950,0.89688003
5025,0.8938667
5100,0.89176005
5175,0.88810664
5250,0.8837601
5325,0.88056004
5400,0.87629336
5475,0.8729867
5550,0.86858666
5625,0.8653733
5700,0.86317337
5775,0.8594667
5850,0.8552267
5925,0.85172004
6000,0.8454534
6075,0.8402133
6150,0.8368267
6225,0.8304
6300,0.82636005
6375,0.8198668
6450,0.8158533
6525,0.81148005
6600,0.8070801
6675,0.80174667
6750,0.79692
6825,0.7907067
6900,0.7830267
6975,0.77889335
7050,0.77481335
7125,0.77055997
7200,0.76497334
7275,0.76094663
7350,0.75684
7425,0.7517201
7500,0.7481867
