lambda,accuracy
0,0.48129338
75,0.50313336
150,0.5236266
225,0.5421466
300,0.56089336
375,0.5786267
450,0.5963467
525,0.61344
600,0.6284133
675,0.63884
750,0.64358664
825,0.64668
900,0.64168
975,0.63223994
1050,0.62009335
1125,0.60212004
1200,0.58313334
1275,0.5568934
1350,0.53348005
1425,0.50914675
1500,0.48430672
1575,0.45960003
1650,0.42661333
1725,0.3997467
1800,0.37532
1875,0.35268003
1950,0.33357337
2025,0.31257337
2100,0.29762667
2175,0.2785067
2250,0.26457337
2325,0.25213334
2400,0.24038668
2475,0.23098668
2550,0.22225335
2625,0.21172002
2700,0.20517334
2775,0.20174667
2850,0.19521335
2925,0.19166668
3000,0.18794669
3075,0.18618669
3150,0.18254668
3225,0.18112001
3300,0.17964001
3375,0.17781335
3450,0.17340001
3525,0.16952
3600,0.16749334
3675,0.16746667
3750,0.16625333
3825,0.16593333
3900,0.16482668
3975,0.16450667
4050,0.16370668
4125,0.16401333
4200,0.16377333
4275,0.16381334
4350,0.16221334
4425,0.16293332
4500,0.16256
4575,0.16130668
4650,0.16072002
4725,0.16126668
4800,0.1614267
4875,0.1612
4950,0.16017333
5025,0.16121332
5100,0.16081333
5175,0.16122667
5250,0.16169333
5325,0.16141333
5400,0.1612
5475,0.16239999
5550,0.1628
5625,0.16305335
5700,0.16338667
5775,0.16288
5850,0.1626
5925,0.16296001
6000,0.16264
6075,0.16246668
6150,0.16245334
6225,0.1626
6300,0.16266665
6375,0.16257334
6450,0.16288002
6525,0.16325334
6600,0.16319999
6675,0.16321334
6750,0.16324
6825,0.16348001
6900,0.16390668
6975,0.16412002
7050,0.16412
7125,0.16496
7200,0.16525333
7275,0.1654
7350,0.16514666
7425,0.16564
7500,0.16541333
