lambda,accuracy
0,0.46482664
75,0.49186668
150,0.5178
225,0.49536
300,0.3928667
375,0.29496002
450,0.24532004
525,0.22084
600,0.20888002
675,0.19696002
750,0.18492001
825,0.17309335
900,0.16378668
975,0.15914667
1050,0.15398666
1125,0.15065333
1200,0.14937332
1275,0.14866666
1350,0.14804001
1425,0.14718667
1500,0.14726666
1575,0.14770667
1650,0.14754666
1725,0.14775999
1800,0.14754666
1875,0.14886665
1950,0.14981334
2025,0.14993334
2100,0.14992
2175,0.14990667
2250,0.15084
2325,0.15177333
2400,0.15238667
2475,0.15291998
2550,0.15316
2625,0.15395999
2700,0.15484
2775,0.15481332
2850,0.15530667
2925,0.15533333
3000,0.15533333
3075,0.15526667
3150,0.15517333
3225,0.15572
3300,0.15605333
3375,0.15646668
3450,0.15661334
3525,0.15675999
3600,0.15698667
3675,0.15693334
3750,0.15720001
3825,0.15720001
3900,0.15720001
3975,0.15720001
4050,0.15721335
4125,0.15725334
4200,0.15735999
4275,0.15735999
4350,0.15766665
4425,0.15781334
4500,0.15781334
4575,0.15781334
4650,0.15784
4725,0.15772
4800,0.15810665
4875,0.15816
4950,0.15850666
5025,0.15850666
5100,0.15881333
5175,0.15881333
5250,0.15881333
5325,0.1586
5400,0.1586
5475,0.15857333
5550,0.15857333
5625,0.15857333
5700,0.15857333
5775,0.15857333
5850,0.15857333
5925,0.15857333
6000,0.15857333
6075,0.15849333
6150,0.15849333
6225,0.15849333
6300,0.15874667
6375,0.15874667
6450,0.15874667
6525,0.15874667
6600,0.15874667
6675,0.15874667
6750,0.15861334
6825,0.15874667
6900,0.15874667
6975,0.15874667
7050,0.15867999
7125,0.15867999
7200,0.15877333
7275,0.15877333
7350,0.15877333
7425,0.15882666
7500,0.15908
