lambda,accuracy
0,0.19936003
75,0.20199999
150,0.2049067
225,0.20776002
300,0.20976
375,0.21188001
450,0.21376002
525,0.21585336
600,0.21762669
675,0.21969335
750,0.22137335
825,0.22385335
900,0.22614667
975,0.22896004
1050,0.23128001
1125,0.23445335
1200,0.23749335
1275,0.24018666
1350,0.24266668
1425,0.24417336
1500,0.24628
1575,0.24864003
1650,0.25024003
1725,0.25292
1800,0.2553467
1875,0.25764
1950,0.25982672
2025,0.2613867
2100,0.2627067
2175,0.26473334
2250,0.26632002
2325,0.26830667
2400,0.26852003
2475,0.27061334
2550,0.27065334
2625,0.27084002
2700,0.27005333
2775,0.27005336
2850,0.27068
2925,0.27042666
3000,0.27016002
3075,0.26982668
3150,0.26804
3225,0.26821333
3300,0.26644003
3375,0.26648
3450,0.26709336
3525,0.26641333
3600,0.26488
3675,0.2639067
3750,0.26316
3825,0.2615467
3900,0.2592667
3975,0.25781336
4050,0.25722668
4125,0.25587997
4200,0.25473335
4275,0.2526
4350,0.25042668
4425,0.24837336
4500,0.24606669
4575,0.24294667
4650,0.24050668
4725,0.23892002
4800,0.23642667
4875,0.2343067
4950,0.23276003
5025,0.23224
5100,0.23030667
5175,0.22790666
5250,0.22418669
5325,0.22128001
5400,0.21904
5475,0.21698669
5550,0.21564
5625,0.21361335
5700,0.21102667
5775,0.21025333
5850,0.20738669
5925,0.20516002
6000,0.2023067
6075,0.19862667
6150,0.19718668
6225,0.19597337
6300,0.19390668
6375,0.19177334
6450,0.19049335
6525,0.18870668
6600,0.18654668
6675,0.18351999
6750,0.18224
6825,0.18016
6900,0.17798665
6975,0.17634669
7050,0.17296
7125,0.16961333
7200,0.16790667
7275,0.16509333
7350,0.16222666
7425,0.15946667
7500,0.15629335
