lambda,accuracy
0,0.8045867
75,0.8146001
150,0.82440007
225,0.83312005
300,0.84124005
375,0.8484
450,0.8561468
525,0.86377335
600,0.8706134
675,0.87680006
750,0.88273346
825,0.8868001
900,0.8910133
975,0.8940667
1050,0.89641345
1125,0.89952004
1200,0.90234673
1275,0.90398675
1350,0.90652007
1425,0.90798676
1500,0.90990674
1575,0.9112401
1650,0.91137344
1725,0.9112934
1800,0.9119202
1875,0.9121334
1950,0.91178674
2025,0.91196
2100,0.91185343
2175,0.91117346
2250,0.9094
2325,0.9083601
2400,0.9056934
2475,0.90398675
2550,0.9028133
2625,0.89968
2700,0.89657336
2775,0.89465344
2850,0.8934534
2925,0.89015996
3000,0.88729346
3075,0.88372004
3150,0.8798267
3225,0.8763733
3300,0.87384003
3375,0.87093335
3450,0.86668
3525,0.8630134
3600,0.85896003
3675,0.85557336
3750,0.85306674
3825,0.84961337
3900,0.8452667
3975,0.8405601
4050,0.8371868
4125,0.8324267
4200,0.82722664
4275,0.8237866
4350,0.8196266
4425,0.81484
4500,0.80945337
4575,0.8050267
4650,0.7987867
4725,0.79384005
4800,0.7876267
4875,0.7827334
4950,0.7760134
5025,0.7709467
5100,0.76690674
5175,0.7620267
5250,0.7563467
5325,0.75100005
5400,0.74486667
5475,0.7373467
5550,0.7312134
5625,0.7243467
5700,0.7190801
5775,0.71241343
5850,0.70785344
5925,0.70097333
6000,0.69295996
6075,0.6880933
6150,0.68141335
6225,0.6754267
6300,0.67096007
6375,0.6582534
6450,0.65092003
6525,0.6455334
6600,0.63849336
6675,0.6319334
6750,0.6274134
6825,0.6218667
6900,0.6170801
6975,0.6129067
7050,0.60656005
7125,0.59881335
7200,0.5924
7275,0.5882934
7350,0.58256
7425,0.5760133
7500,0.56906664
