lambda,accuracy
0,0.81648004
75,0.84076005
150,0.8621734
225,0.8791334
300,0.8942134
375,0.90586674
450,0.9170934
525,0.9263867
600,0.93409336
675,0.94050676
750,0.9453333
825,0.94868004
900,0.9513467
975,0.9534133
1050,0.9538534
1125,0.9539467
1200,0.9549867
1275,0.9539734
1350,0.9532933
1425,0.9522934
1500,0.95072
1575,0.9485734
1650,0.9460266
1725,0.94397336
1800,0.94244003
1875,0.94008
1950,0.9366134
2025,0.9339067
2100,0.93091995
2175,0.9267067
2250,0.92305326
2325,0.91890657
2400,0.91591996
2475,0.9118401
2550,0.9075867
2625,0.90472
2700,0.89993334
2775,0.8962267
2850,0.8914267
2925,0.88485336
3000,0.88044006
3075,0.87528
3150,0.8702534
3225,0.86249334
3300,0.85724
3375,0.8506134
3450,0.8440267
3525,0.8362133
3600,0.829
3675,0.8226534
3750,0.81240004
3825,0.80228007
3900,0.7948933
3975,0.78427994
4050,0.77582663
4125,0.7684933
4200,0.7635867
4275,0.75732
4350,0.74935997
4425,0.7399334
4500,0.7330934
4575,0.72488
4650,0.71968
4725,0.7112533
4800,0.7015467
4875,0.69162667
4950,0.6856533
5025,0.68096006
5100,0.67226666
5175,0.6643467
5250,0.66032
5325,0.64897335
5400,0.6391867
5475,0.6332267
5550,0.62618667
5625,0.61814666
5700,0.60885334
5775,0.6011733
5850,0.5954533
5925,0.5881466
6000,0.57854664
6075,0.57258666
6150,0.5669867
6225,0.5609467
6300,0.55624
6375,0.54807997
6450,0.54282665
6525,0.5392933
6600,0.53423995
6675,0.52488
6750,0.5164266
6825,0.50952
6900,0.50349337
6975,0.49994668
7050,0.49432
7125,0.4886133
7200,0.48271996
7275,0.47847995
7350,0.46953335
7425,0.46018666
7500,0.45589334
