lambda,accuracy
0,0.53165334
75,0.5373733
150,0.5427333
225,0.5484
300,0.55409324
375,0.5594001
450,0.56483996
525,0.57049334
600,0.5755466
675,0.58068
750,0.5859466
825,0.59136
900,0.5966933
975,0.6017067
1050,0.6069066
1125,0.6121867
1200,0.6171733
1275,0.62248003
1350,0.62776005
1425,0.63357335
1500,0.63901335
1575,0.6443066
1650,0.6500666
1725,0.6549999
1800,0.6597733
1875,0.66532004
1950,0.6707733
2025,0.6760667
2100,0.68142664
2175,0.6854
2250,0.69075996
2325,0.69496
2400,0.6991067
2475,0.70372
2550,0.70898664
2625,0.71368
2700,0.7178801
2775,0.72149336
2850,0.7264934
2925,0.73024
3000,0.73459995
3075,0.7383734
3150,0.7420134
3225,0.7458533
3300,0.74934673
3375,0.7526668
3450,0.7551867
3525,0.75810665
3600,0.7607201
3675,0.7644801
3750,0.7672001
3825,0.77040017
3900,0.77364004
3975,0.7757867
4050,0.77833337
4125,0.78024006
4200,0.7821201
4275,0.7844267
4350,0.7861334
4425,0.7883334
4500,0.78984
4575,0.79168004
4650,0.7926134
4725,0.79396
4800,0.7947067
4875,0.7958533
4950,0.79699993
5025,0.7974133
5100,0.79908
5175,0.8001334
5250,0.8010133
5325,0.8017334
5400,0.80241334
5475,0.80289334
5550,0.8028267
5625,0.8021868
5700,0.80205333
5775,0.8015467
5850,0.80120003
5925,0.8001334
6000,0.80026674
6075,0.8002
6150,0.80062664
6225,0.8004001
6300,0.80004007
6375,0.79940003
6450,0.7982267
6525,0.79840004
6600,0.7985867
6675,0.79870677
6750,0.7982
6825,0.7977867
6900,0.7978267
6975,0.7973467
7050,0.7964267
7125,0.7948934
7200,0.79402673
7275,0.7936001
7350,0.7928134
7425,0.79097337
7500,0.78942674
