lambda,accuracy
0,0.59283996
75,0.5965067
150,0.59945333
225,0.6018133
300,0.60454667
375,0.6072134
450,0.6098933
525,0.6125867
600,0.61506665
675,0.61770666
750,0.6199067
825,0.62240005
900,0.6249867
975,0.6274533
1050,0.63008004
1125,0.6324533
1200,0.63497335
1275,0.6372533
1350,0.63989335
1425,0.64246666
1500,0.6449067
1575,0.64758664
1650,0.64989334
1725,0.65208
1800,0.6542533
1875,0.6568533
1950,0.6595334
2025,0.66216
2100,0.6648933
2175,0.66737336
2250,0.6704668
2325,0.6730267
2400,0.67561334
2475,0.67830664
2550,0.68119997
2625,0.6842
2700,0.68705344
2775,0.68983996
2850,0.69256
2925,0.69536
3000,0.69849336
3075,0.7015199
3150,0.70484006
3225,0.7076267
3300,0.7107733
3375,0.71389335
3450,0.7166133
3525,0.72010666
3600,0.7229467
3675,0.7259867
3750,0.7286933
3825,0.73213327
3900,0.7354
3975,0.7383867
4050,0.7411867
4125,0.7438401
4200,0.7469333
4275,0.74989337
4350,0.75324
4425,0.7562133
4500,0.7593334
4575,0.7615334
4650,0.7642267
4725,0.76756006
4800,0.77029335
4875,0.77298665
4950,0.7750266
5025,0.77810663
5100,0.78107995
5175,0.7835733
5250,0.78622675
5325,0.78850675
5400,0.79150665
5475,0.7951067
5550,0.79776
5625,0.79998666
5700,0.8029068
5775,0.80602664
5850,0.8085468
5925,0.8108934
6000,0.8135066
6075,0.81608003
6150,0.81858665
6225,0.82135993
6300,0.82373327
6375,0.8262667
6450,0.82884
6525,0.8306534
6600,0.8329866
6675,0.83466667
6750,0.83675987
6825,0.8386133
6900,0.84001327
6975,0.84229326
7050,0.84414667
7125,0.8459467
7200,0.84774673
7275,0.8488933
7350,0.85038674
7425,0.85203993
7500,0.85317343
