lambda,accuracy
0,0.62176
75,0.63142663
150,0.6405467
225,0.6497466
300,0.65839994
375,0.66683996
450,0.67436004
525,0.6816667
600,0.6889733
675,0.69703996
750,0.70419997
825,0.7116934
900,0.71797335
975,0.72488004
1050,0.7311734
1125,0.73626673
1200,0.74206674
1275,0.7481333
1350,0.75294673
1425,0.7587734
1500,0.76348007
1575,0.7682134
1650,0.77161336
1725,0.7745734
1800,0.77701336
1875,0.7801467
1950,0.7806268
2025,0.78112006
2100,0.78152
2175,0.7824267
2250,0.7821334
2325,0.78193337
2400,0.78095996
2475,0.7803601
2550,0.77940005
2625,0.7793467
2700,0.77785337
2775,0.77533334
2850,0.77260005
2925,0.76970667
3000,0.76797336
3075,0.7659334
3150,0.76312006
3225,0.76012003
3300,0.7563467
3375,0.7523467
3450,0.74857336
3525,0.7452534
3600,0.7412667
3675,0.7375601
3750,0.73417336
3825,0.7298
3900,0.7254001
3975,0.7214801
4050,0.7177201
4125,0.71477336
4200,0.70852005
4275,0.7026533
4350,0.6981067
4425,0.69305336
4500,0.68777335
4575,0.6821467
4650,0.6772667
4725,0.6726934
4800,0.66652
4875,0.66169333
4950,0.6571334
5025,0.65040004
5100,0.6450666
5175,0.63892
5250,0.63172
5325,0.62537336
5400,0.6192667
5475,0.61218673
5550,0.6051467
5625,0.59944
5700,0.5942266
5775,0.5867733
5850,0.57695997
5925,0.5697333
6000,0.56044
6075,0.55512005
6150,0.5478933
6225,0.54056
6300,0.53073335
6375,0.52517337
6450,0.5165334
6525,0.5114933
6600,0.50406665
6675,0.5000267
6750,0.49410662
6825,0.48817334
6900,0.48045334
6975,0.47388
7050,0.46893328
7125,0.46292
7200,0.4578
7275,0.45174664
7350,0.445
7425,0.4378267
7500,0.43077335
