alpha,accuracy
0,0.48333335
5,0.49250668
10,0.50273335
15,0.51399994
20,0.5250933
25,0.5358533
30,0.54722667
35,0.55928004
40,0.57041335
45,0.57964
50,0.59052
55,0.6004133
60,0.6107466
65,0.62089336
70,0.6247066
75,0.62663996
80,0.62646663
85,0.62669337
90,0.62324
95,0.6152933
100,0.60682666
105,0.59516
110,0.57892
115,0.5645734
120,0.5488267
125,0.53212005
130,0.51257336
135,0.4948933
140,0.47734666
145,0.45948
150,0.44012004
155,0.42324004
160,0.40749335
165,0.3928
170,0.37829334
175,0.36490667
180,0.35005337
185,0.33596
190,0.32696003
195,0.31460002
200,0.30373335
205,0.29388002
210,0.28557333
215,0.28006667
220,0.27261335
225,0.26526666
230,0.25933334
235,0.25357336
240,0.24746665
245,0.24326667
250,0.23918667
255,0.23621336
260,0.23509333
265,0.23262668
270,0.2299867
275,0.22758667
280,0.226
285,0.22549334
290,0.22442667
295,0.22341338
300,0.22122669
305,0.22162667
310,0.22081335
315,0.22048001
320,0.2200667
325,0.21970668
330,0.21982667
335,0.21990666
340,0.21996
345,0.22
350,0.21981335
355,0.21980003
360,0.21994665
365,0.22012
370,0.21974668
375,0.22021334
380,0.22004
385,0.22004
390,0.21941333
395,0.21917334
400,0.21900001
405,0.21887998
410,0.21889333
415,0.21885332
420,0.21878667
425,0.21884
430,0.21854667
435,0.21854667
440,0.21862666
445,0.21854667
450,0.21806666
455,0.21826668
460,0.21817335
465,0.21826668
470,0.21856001
475,0.21825333
480,0.21852002
485,0.21832001
490,0.21825333
495,0.21822667
500,0.21832001
