alpha,accuracy
0,0.27589336
5,0.28716
10,0.29804
15,0.30964
20,0.32081336
25,0.33321333
30,0.34568003
35,0.35968003
40,0.37288004
45,0.3876267
50,0.40004
55,0.41300002
60,0.4245333
65,0.4361867
70,0.44609338
75,0.45297337
80,0.4572
85,0.4597733
90,0.45693332
95,0.45298666
100,0.44605333
105,0.4361733
110,0.42226666
115,0.4069067
120,0.39150667
125,0.3766
130,0.35675997
135,0.33868
140,0.32332
145,0.30524
150,0.28514668
155,0.27081335
160,0.25696
165,0.24509335
170,0.23073335
175,0.22142668
180,0.21269333
185,0.20589335
190,0.2006
195,0.19538668
200,0.19238667
205,0.18962666
210,0.18617335
215,0.18493333
220,0.18392
225,0.18278667
230,0.18212001
235,0.18215999
240,0.18238667
245,0.18276
250,0.18274668
255,0.18182668
260,0.18201335
265,0.18154666
270,0.18142667
275,0.18132003
280,0.18135999
285,0.18134667
290,0.18093334
295,0.18173334
300,0.18173334
305,0.18132
310,0.18186666
315,0.18137333
320,0.18193334
325,0.18244001
330,0.18218666
335,0.18225333
340,0.18216
345,0.18208
350,0.18313333
355,0.18326668
360,0.18342666
365,0.18377334
370,0.18380001
375,0.18413334
380,0.18450665
385,0.18425333
390,0.18450668
395,0.18456002
400,0.18488
405,0.18485335
410,0.18533334
415,0.18521334
420,0.18522668
425,0.18573335
430,0.18616
435,0.18597335
440,0.18598667
445,0.18625334
450,0.18674667
455,0.18653333
460,0.18650666
465,0.18646666
470,0.18656
475,0.18641333
480,0.18664
485,0.18696
490,0.18664
495,0.18667999
500,0.18706667
