alpha,accuracy
0,0.50724
5,0.51452
10,0.52396
15,0.5314533
20,0.54002666
25,0.54824
30,0.55587995
35,0.56421334
40,0.5717867
45,0.5795866
50,0.5895467
55,0.59750664
60,0.6062533
65,0.6129867
70,0.61836
75,0.62488
80,0.62942666
85,0.63321334
90,0.63628
95,0.6382
100,0.63842666
105,0.63984
110,0.6375867
115,0.6366133
120,0.63435996
125,0.6324667
130,0.62870663
135,0.62492
140,0.62024003
145,0.61416
150,0.6062133
155,0.59958667
160,0.59302676
165,0.58474666
170,0.5761334
175,0.5689867
180,0.5603867
185,0.54892004
190,0.54114664
195,0.53069335
200,0.51860005
205,0.50416005
210,0.4949333
215,0.48201331
220,0.4707733
225,0.46092
230,0.44777337
235,0.43784004
240,0.42834672
245,0.41894668
250,0.40972003
255,0.39974666
260,0.39334667
265,0.38318667
270,0.3755467
275,0.36838666
280,0.36158666
285,0.3547467
290,0.34726667
295,0.34177333
300,0.33365333
305,0.32894665
310,0.32166666
315,0.31508
320,0.30960003
325,0.3058267
330,0.30125335
335,0.29748002
340,0.29242665
345,0.28866667
350,0.2837067
355,0.27912003
360,0.27605334
365,0.27256
370,0.27133334
375,0.26897335
380,0.26649332
385,0.26396003
390,0.26176
395,0.25940004
400,0.25808
405,0.25716
410,0.25614667
415,0.25541335
420,0.25344002
425,0.25054666
430,0.24897334
435,0.24746668
440,0.24590667
445,0.24426667
450,0.24416001
455,0.24386668
460,0.24284002
465,0.24158669
470,0.24057336
475,0.23913336
480,0.23862667
485,0.23810668
490,0.23688002
495,0.23714669
500,0.23577332
