alpha,accuracy
0,0.28696
5,0.29682666
10,0.30688
15,0.31648
20,0.32678667
25,0.33697337
30,0.34780002
35,0.35916
40,0.37085336
45,0.38185334
50,0.3929333
55,0.40466672
60,0.41666666
65,0.42821336
70,0.43853337
75,0.4479467
80,0.45724002
85,0.46446666
90,0.47146663
95,0.47569332
100,0.48036003
105,0.4822933
110,0.48248
115,0.47928
120,0.4750533
125,0.46947998
130,0.46464005
135,0.45877331
140,0.4483067
145,0.43786663
150,0.42676002
155,0.41262665
160,0.40130672
165,0.38929334
170,0.37745333
175,0.3638
180,0.3486
185,0.34005332
190,0.32953337
195,0.31812
200,0.3073867
205,0.29402667
210,0.28317332
215,0.27577335
220,0.26470667
225,0.25376
230,0.24579999
235,0.23826666
240,0.23254666
245,0.22898667
250,0.22473335
255,0.22120002
260,0.21444002
265,0.21021335
270,0.20793334
275,0.20504001
280,0.20278665
285,0.20064001
290,0.19832
295,0.19708002
300,0.19522665
305,0.19637334
310,0.19529334
315,0.19381332
320,0.19108
325,0.19093332
330,0.19031999
335,0.18972
340,0.19054666
345,0.19042668
350,0.19113334
355,0.19252
360,0.19229333
365,0.19292
370,0.19333334
375,0.19314668
380,0.19309333
385,0.19290666
390,0.19240001
395,0.19226667
400,0.19225332
405,0.19177334
410,0.19174668
415,0.19105335
420,0.19104001
425,0.19133334
430,0.19106668
435,0.19133334
440,0.19136
445,0.19160001
450,0.19138667
455,0.19193335
460,0.19113334
465,0.19142666
470,0.19140002
475,0.19208002
480,0.19261333
485,0.19296001
490,0.19324002
495,0.19301336
500,0.19306667
